R,C,A,B,C,D,x,y,Readings
1,1,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,2
1,1,0,0,0,0,0,0,3
1,1,0,0,0,0,0,0,4
1,1,0,0,0,0,0,0,5
1,1,0,0,0,0,0,0,6
1,1,0,0,0,0,0,0,7
1,1,0,0,0,0,0,0,8
1,1,0,0,0,0,0,0,9
1,1,0,0,0,0,0,0,10
1,1,0,0,0,0,0,0,11
1,1,0,0,0,0,0,0,12
1,1,0,0,0,0,0,0,13
1,1,0,0,0,0,0,0,14
1,1,0,0,0,0,0,0,15
1,1,0,0,0,0,0,0,16
1,1,0,0,0,0,0,0,17
1,1,0,0,0,0,0,0,18
1,1,0,0,0,0,0,0,19
1,1,0,0,0,0,0,0,20
1,2,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,2
1,2,0,0,0,0,0,0,3
1,2,0,0,0,0,0,0,4
1,2,0,0,0,0,0,0,5
1,2,0,0,0,0,0,0,6
1,2,0,0,0,0,0,0,7
1,2,0,0,0,0,0,0,8
1,2,0,0,0,0,0,0,9
1,2,0,0,0,0,0,0,10
1,2,0,0,0,0,0,0,11
1,2,0,0,0,0,0,0,12
1,2,0,0,0,0,0,0,13
1,2,0,0,0,0,0,0,14
1,2,0,0,0,0,0,0,15
1,2,0,0,0,0,0,0,16
1,2,0,0,0,0,0,0,17
1,2,0,0,0,0,0,0,18
1,2,0,0,0,0,0,0,19
1,2,0,0,0,0,0,0,20
1,3,0,0,0,0,0,0,1
1,3,0,0,0,0,0,0,2
1,3,0,0,0,0,0,0,3
1,3,0,0,0,0,0,0,4
1,3,0,0,0,0,0,0,5
1,3,0,0,0,0,0,0,6
1,3,0,0,0,0,0,0,7
1,3,0,0,0,0,0,0,8
1,3,0,0,0,0,0,0,9
1,3,0,0,0,0,0,0,10
1,3,0,0,0,0,0,0,11
1,3,0,0,0,0,0,0,12
1,3,0,0,0,0,0,0,13
1,3,0,0,0,0,0,0,14
1,3,0,0,0,0,0,0,15
1,3,0,0,0,0,0,0,16
1,3,0,0,0,0,0,0,17
1,3,0,0,0,0,0,0,18
1,3,0,0,0,0,0,0,19
1,3,0,0,0,0,0,0,20
1,4,0,0,0,0,0,0,1
1,4,0,0,0,0,0,0,2
1,4,0,0,0,0,0,0,3
1,4,0,0,0,0,0,0,4
1,4,0,0,0,0,0,0,5
1,4,0,0,0,0,0,0,6
1,4,0,0,0,0,0,0,7
1,4,0,0,0,0,0,0,8
1,4,0,0,0,0,0,0,9
1,4,0,0,0,0,0,0,10
1,4,0,0,0,0,0,0,11
1,4,0,0,0,0,0,0,12
1,4,0,0,0,0,0,0,13
1,4,0,0,0,0,0,0,14
1,4,0,0,0,0,0,0,15
1,4,0,0,0,0,0,0,16
1,4,0,0,0,0,0,0,17
1,4,0,0,0,0,0,0,18
1,4,0,0,0,0,0,0,19
1,4,0,0,0,0,0,0,20
1,5,0,0,0,0,0,0,1
1,5,0,0,0,0,0,0,2
1,5,0,0,0,0,0,0,3
1,5,0,0,0,0,0,0,4
1,5,0,0,0,0,0,0,5
1,5,0,0,0,0,0,0,6
1,5,0,0,0,0,0,0,7
1,5,0,0,0,0,0,0,8
1,5,0,0,0,0,0,0,9
1,5,0,0,0,0,0,0,10
1,5,0,0,0,0,0,0,11
1,5,0,0,0,0,0,0,12
1,5,0,0,0,0,0,0,13
1,5,0,0,0,0,0,0,14
1,5,0,0,0,0,0,0,15
1,5,0,0,0,0,0,0,16
1,5,0,0,0,0,0,0,17
1,5,0,0,0,0,0,0,18
1,5,0,0,0,0,0,0,19
1,5,0,0,0,0,0,0,20
1,6,0,0,0,0,0,0,1
1,6,0,0,0,0,0,0,2
1,6,0,0,0,0,0,0,3
1,6,0,0,0,0,0,0,4
1,6,0,0,0,0,0,0,5
1,6,0,0,0,0,0,0,6
1,6,0,0,0,0,0,0,7
1,6,0,0,0,0,0,0,8
1,6,0,0,0,0,0,0,9
1,6,0,0,0,0,0,0,10
1,6,0,0,0,0,0,0,11
1,6,0,0,0,0,0,0,12
1,6,0,0,0,0,0,0,13
